"category_id","category_name","description","is_expense","parent_category_id"
"1","Продукты питания","Покупка продуктов в магазинах","t",
"2","Кафе и рестораны","Питание вне дома","t",
"3","Транспорт","Все транспортные расходы","t",
"4","Такси","Поездки на такси","t","3"
"5","Общественный транспорт","Метро, автобусы, маршрутки","t","3"
"6","Машина","Расходы на автомобиль","t","3"
"7","Покупки","Различные покупки","t",
"8","Одежда и обувь","Покупка одежды и обуви","t","7"
"9","Электроника","Техника и гаджеты","t","7"
"10","Развлечения","Кино, театры, концерты","t",
"11","Красота и здоровье","Косметика, спорт, медицина","t",
"12","Коммунальные услуги","Квартплата, электричество, вода","t",
"13","Связь и интернет","Мобильная связь, интернет","t",
"14","Образование","Курсы, книги, обучение","t",
"15","Путешествия","Авиабилеты, отели, туры","t",
"16","Зарплата","Основная заработная плата","f",
"17","Фриланс","Доходы от фриланса","f",
"18","Подарки","Денежные подарки","f",
"19","Возвраты","Возврат денежных средств","f",
"20","Аптека","Лекарства и медицинские товары","t","11"
"21","Фитнес","Абонементы в спортзал","t","11"
"22","Книги","Покупка книг","t","14"
"23","Онлайн-курсы","Оплата онлайн обучения","t","14"
"24","Аренда жилья","Аренда квартиры/дома","t","12"
"25","Такси (Таджикистан)","Поездки на такси в Таджикистане","t","3"
"26","Местные продукты","Местные продукты в Таджикистане","t","1"
"27","Сувениры","Покупка сувениров","t","15"
